"horas_estudio","promedio","tiempo_sin_redes","revision_dia","horas_sueno","contenido","satisfaccion_academica","satisfaccion_social","universidad","red_social_usada"
6.5,15.3,3,12,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Tiktok"
2,12,2,4,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Whatsapp"
4,14.89,4,10,4.5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Privada","Whatsapp"
3,14.2,8,6,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","3","Privada","Whatsapp"
12,15,10,7,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Pública","Tiktok"
3,16.8,3,40,6,"Educación (contenido académico)","5","5","Privada","Whatsapp"
2,15.8,4,10,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Instagram"
3.5,14.15,7,2,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Tiktok"
3,11,2,5,6,"Socializar","1","1","Privada","Whatsapp"
2.5,13,2,2,7.5,"Educación (contenido académico)","3","5","Privada","Whatsapp"
1,15.5,5,1,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","X (Twitter)"
5.3,17,2,2,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Tiktok"
1,16.35,2,3,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","4","Privada","Otro"
5,16.37,5,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
4,17,1,10,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
5,13,8,10,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
4.5,16.5,6,2,5,"Información (noticias , actualidad)","3","2","Privada","Whatsapp"
5,16.6,3,2,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Instagram"
5,15.57,5,3,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Tiktok"
5,18.6,3,10,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","4","Privada","Whatsapp"
1,15.9,5,5,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Instagram"
1,17.75,2,10,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
6,13.45,NA,2,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","5","Privada","Tiktok"
4,14,3,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","5","Privada","Tiktok"
4,13,5,5,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
6,14,0.5,50,6,"Socializar","3","4","Privada","Whatsapp"
2,15.02,4,20,6,"Socializar","2","3","Privada","Whatsapp"
3,17,2,8,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Tiktok"
8,15.4,8,50,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Whatsapp"
4,15.5,5,2,6.5,"Socializar","4","4","Privada","Whatsapp"
6,12.6,NA,6,7.5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
3,12.7,2,50,5,"Socializar","2","4","Privada","Whatsapp"
2,16.2,1,10,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Instagram"
2,16,3,4,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
6,14.58,7,6,7,"Socializar","3","5","Privada","Tiktok"
2,17,3,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","4","Privada","Whatsapp"
3,14.75,2,2,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","5","Privada","Instagram"
2,14.1,1,3,6.5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","2","Privada","Instagram"
6,15,1,5,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Pública","Tiktok"
2,15.8,3,10,6,"Información (noticias , actualidad)","3","4","Privada","Instagram"
5,14.45,1.5,20,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Instagram"
9.5,10,NA,0,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Discord"
3,16,1,4,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Pública","Whatsapp"
3.5,16,1.5,1,6,"Socializar","5","5","Pública","Whatsapp"
5,18,2,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Pública","Whatsapp"
2,13,2,3,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","X (Twitter)"
5,16.2,5,7,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","2","Privada","Whatsapp"
5.5,7.4,4,20,6.5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Tiktok"
3,15.98,3,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Instagram"
1,15.82,3,4,7,"Socializar","3","4","Privada","Whatsapp"
2,13.98,5,8,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
4,16,2,6,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
2,12.5,3,20,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Pública","Telegram"
5,17,3,10,5,"Socializar","3","4","Privada","Whatsapp"
6.5,13.5,12,7,5,"Socializar","3","4","Privada","Tiktok"
2,15,2,7,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Tiktok"
2,NA,3,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
8,15.86,2,10,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Pública","Tiktok"
5,12,2,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Pública","Facebook / meta"
2,14.5,4,2,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Instagram"
2.5,14,1.5,5,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Whatsapp"
1,16.4,4,8,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Whatsapp"
4,18,1.5,10,2,"Información (noticias , actualidad)","1","2","Privada","Whatsapp"
3.5,14.4,2,10,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Pública","Whatsapp"
3,15.6,3,5,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
6,15.1,NA,7,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
